name,appid,in_steam,type,steam_name,has_dlc,dlc,is_coming_soon,release_date
The Night of the Rabbit,230820.0,True,game,The Night of the Rabbit,True,[477050],False,2013-05-28
Ni no Kuni Wrath of the White Witch Remastered,798460.0,True,game,Ni no Kuni Wrath of the White Witch™ Remastered,False,,False,2019-09-19
KeyWe - The 100th Annual Grand Ol' Telepost Tournament - DLC,1873760.0,True,dlc,KeyWe - The 100th Grand Ol' Telepost Tournament,False,,False,2022-02-22
GTFO,493520.0,True,game,GTFO,False,,False,2021-12-09
Neon White,1533420.0,True,game,Neon White,True,[2054540],False,2022-06-16
The Dweller,463930.0,True,game,The Dweller,False,,False,2016-05-19
Dead Cells: Return to Castlevania - DLC,2101430.0,True,dlc,Dead Cells: Return to Castlevania,False,,False,2023-03-06
Darksiders Genesis,710920.0,True,game,Darksiders Genesis,True,[1203440],False,2019-12-05
Dome Keeper,1637320.0,True,game,Dome Keeper,True,"[2150000, 2152440, 2380060]",False,2022-09-27
Resident Evil 7 - Season Pass - DLC,1162206.0,True,dlc,SOULCALIBUR VI - DLC13: Hwang,False,,False,2020-12-01
POSTAL 2,223470.0,True,game,POSTAL 2,True,"[360960, 1986830]",False,2012-11-02
The Darkest Tales,1307690.0,True,game,The Darkest Tales,True,"[2180030, 2186120]",False,2022-10-13
Marvel’s Spider-Man: Miles Morales,449394.0,True,dlc,LEGO® MARVEL's Avengers DLC - Spider-Man Character Pack,False,,False,2016-05-24
Distrust,635200.0,True,game,Distrust: Polar Survival,False,,False,2017-08-23
BlackSmith HIT,508170.0,True,game,BlackSmith HIT,False,,False,2016-08-05
RESIDENT EVIL 2 - Deluxe Edition,600130.0,True,game,Valfaris,True,"[1166720, 1166721]",False,2019-10-10
Chicken Police,1084640.0,True,game,Chicken Police - Paint it RED!,True,"[1466080, 1591810]",False,2020-11-05
Solasta: Crown of the Magister - Inner Strength - DLC,2100430.0,True,dlc,Solasta: Crown of the Magister - Inner Strength,False,,False,2022-11-14
Edna & Harvey: Harvey's New Eyes,219910.0,True,game,Edna & Harvey: Harvey's New Eyes,True,"[558160, 752510]",False,2012-10-16
Resident Evil 7,530620.0,True,game,Resident Evil 7 Teaser: Beginning Hour,False,,False,2016-12-18
Lost Ruins,1306630.0,True,game,Lost Ruins,False,,False,2021-05-13
