name,appid
The Night of the Rabbit,230820.0
Ni no Kuni Wrath of the White Witch Remastered,798460.0
KeyWe - The 100th Annual Grand Ol' Telepost Tournament - DLC,1873760.0
GTFO,493520.0
Neon White,1533420.0
The Dweller,463930.0
Dead Cells: Return to Castlevania - DLC,2101430.0
Darksiders Genesis,710920.0
Dome Keeper,1637320.0
Resident Evil 7 - Season Pass - DLC,1162206.0
POSTAL 2,223470.0
The Darkest Tales,1307690.0
Marvel’s Spider-Man: Miles Morales,449394.0
Distrust,635200.0
BlackSmith HIT,508170.0
RESIDENT EVIL 2 - Deluxe Edition,600130.0
Chicken Police,1084640.0
Solasta: Crown of the Magister - Inner Strength - DLC,2100430.0
Edna & Harvey: Harvey's New Eyes,219910.0
Resident Evil 7,530620.0
Lost Ruins,1306630.0
Карта оплаты Xbox Game Pass Ultimate на 1 месяц,
Ashen,649950.0
Absolute Drift,320140.0
Deponia,214340.0
Heavy Rain,960910.0
Rise of Industry,671440.0
TEKKEN 7,389730.0
Deck of Ashes - Tome Of Dimensions - DLC,1684600.0
Elden Ring,1245620.0
Alan Wake’s American Nightmare,202750.0
VCB: Why City 4k,222593.0
Furi,423230.0
Cities: Skylines - Content Creator Pack: Skyscrapers - DLC,2144481.0
KovaaK’s Tracking Trainer - DLC,1438210.0
Noise,676760.0
Elden Ring - Deluxe Edition,401710.0
Crusader Kings III: Royal Court - DLC,1303182.0
Hitman: Absolution,203140.0
Hatred,341940.0
Train Simulator 2021 - Deluxe Edition,2362300.0
Totally Accurate Battle Simulator,508440.0
Beholder,475550.0
House Flipper - Pets - DLC,1569190.0
CryoFall,829590.0
Stellaris: Nemesis - DLC,1522090.0
Wreckfest,228380.0
Tyranny - Bastard's Wound - DLC,651440.0
Stellaris: Utopia - DLC,21037.0
Little Nightmares II - Deluxe Edition,33642.0
Forgive Me Father,1590910.0
Jagged Alliance 3,1084160.0
Urban Trial Freestyle,243450.0
MechWarrior 5: Mercenaries,784080.0
RESIDENT EVIL 2,920566.0
Stellaris: Overlord Expansion Pack - DLC,21037.0
Kingdoms of Amalur: Re-Reckoning - FATE EDITION,1278260.0
Cities: Skylines - Sunny Breeze Radio - DLC,1531473.0
Squad,393380.0
SUPERHOT VR,617830.0
METAL GEAR SOLID V: The Definitive Experience,132479.0
The Dark Pictures Anthology: Season One,27477.0
The Dark Pictures Anthology: House of Ashes,1281590.0
Bus Driver Simulator - European Minibus - DLC,2192770.0
Florence,1102130.0
If Found...,1041920.0
Pathfinder: Wrath of the Righteous - Season Pass 2 - DLC,2145870.0
I Am Future: Cozy Apocalypse Survival,1658040.0
Nova Drift,858210.0
Remember Me,291030.0
The Life and Suffering of Sir Brante,1272160.0
Deadly 30,264730.0
Sable,757310.0
Dead Cells: The Queen and the Sea - DLC,1580050.0
Titan Quest: Ragnarok - DLC,741350.0
ONE PIECE: PIRATE WARRIORS 4 - Deluxe Edition,1205240.0
Stellaris: Toxoids Species Pack - DLC,2115770.0
The King's Bird,812550.0
Hearts of Iron IV: Battle for the Bosporus - DLC,1348660.0
Mad Max,234140.0
Little Nightmares,424840.0
Wartales,1527950.0
Hearts of Iron IV: La Resistance - DLC,1158100.0
The Wild Eight,526160.0
THE SIMS 4: ISLAND LIVING - DLC,1236720.0
Timberman,398710.0
Beholder 3,1570070.0
Horizon Zero Dawn™ Complete Edition,2649240.0
RoboCop: Rogue City - Alex Murphy Edition - ПРЕДЗАКАЗ,2436841.0
Tails Noir,865610.0
Cities: Skylines - Financial Districts - DLC,2148901.0
Stellaris - Galaxy Edition,616191.0
