rating,name,release_date,has_sale,sale,final_price,original_price
1,Dota 2,2013-07-09,0,0,0.0,0.0
2,Rust,2018-02-08,1,-50%,550.0,1100.0
3,Counter-Strike 2,2012-08-21,0,0,0.0,0.0
4,Hunt: Showdown,2019-08-27,1,-65%,472.15,1349.0
5,Baldur's Gate 3,2023-08-03,0,0,1999.0,1999.0
6,"Warhammer 40,000: Rogue Trader",2023-12-07,0,0,1599.0,1599.0
7,PUBG: BATTLEGROUNDS,2017-12-21,0,0,0.0,0.0
8,Хаус Флиппер 2,2023-12-14,1,-10%,1638.0,1820.0
9,Warspear Online,2017-11-02,0,0,0.0,0.0
10,Mount & Blade II: Bannerlord,2022-10-25,1,-40%,1679.4,2799.0
11,Valheim,2021-02-02,1,-40%,261.0,435.0
12,Team Fortress 2,2007-10-10,0,0,0.0,0.0
13,Path of Exile,2013-10-23,0,0,0.0,0.0
14,Deep Rock Galactic,2020-05-13,1,-67%,263.0,799.0
15,Wartales,2023-04-12,1,-25%,974.0,1299.0
16,Phasmophobia,no date,0,0,309.0,309.0
17,Pathfinder: Wrath of the Righteous - Enhanced Edition,no date,1,-75%,299.75,1199.0
18,The Outlast Trials,2023-05-18,1,-25%,825.0,1100.0
19,Barro 2020,2019-11-01,1,-50%,21.0,42.0
20,"Warhammer 40,000: Darktide",2022-11-30,1,-35%,1786.85,2749.0
21,SCUM,2018-08-29,1,-50%,1167.0,2335.0
22,DayZ,2018-12-13,1,-33%,2204.3,3290.0
23,No Man's Sky,2016-08-12,1,-50%,950.0,1900.0
24,"Wartales, Pirates of Belerion",2023-12-14,1,-10%,666.0,740.0
25,Medieval Dynasty,no date,1,-20%,1462.4,1828.0
26,Black Desert,2019-07-26,1,-90%,35.0,350.0
27,BeamNG.drive,2015-05-29,0,0,465.0,465.0
28,Wallpaper Engine,no date,0,0,249.0,249.0
29,MudRunner,2017-10-31,1,-80%,239.0,1199.0
30,GTFO,2021-12-10,1,-40%,1005.0,1675.0
31,Sons Of The Forest,2023-02-23,0,0,1100.0,1100.0
32,Rust - Voice Props Pack,2021-07-01,1,-50%,180.0,360.0
